Constituent,Site Code,Constituent Abbrev,Visit Datetime,E coli bacteria,Latitude,Longitude,Result
Escherichia coli,PA3,Ecoli,6/18/2015 7:00:26 AM,All Okay,45.199372,-68.625278,8
Escherichia coli,PA2,Ecoli,9/17/2015 9:47:25 AM,All Okay,45.22526,-68.650091,19
Escherichia coli,PA1,Ecoli,6/18/2015 7:18:37 AM,All Okay,45.225029,-68.652103,2
Escherichia coli,PA1,Ecoli,9/17/2015 9:38:58 AM,All Okay,45.225029,-68.652103,20
Escherichia coli,PA1,Ecoli,9/17/2015 9:38:58 AM,All Okay,45.225029,-68.652103,32
Escherichia coli,PA1,Ecoli,9/17/2015 9:38:58 AM,All Okay,45.225029,-68.652103,23
Escherichia coli,LT1,Ecoli,6/22/2016 8:33:51 AM,All Okay,45.375674,-68.508365,25
Escherichia coli,LT1,Ecoli,9/4/2014 11:25:03 AM,All Okay,45.375674,-68.508365,30
Escherichia coli,CH1,Ecoli,8/10/2017 8:53:29 AM,All Okay,45.432336,-68.459557,13
Escherichia coli,CH1,Ecoli,7/22/2015 9:40:38 AM,All Okay,45.432336,-68.459557,17
Escherichia coli,MW1,Ecoli,7/20/2017 10:11:37 AM,All Okay,45.525678,-68.364508,16
Escherichia coli,CH1,Ecoli,7/20/2017 9:23:09 AM,All Okay,45.432336,-68.459557,13
Escherichia coli,MW2,Ecoli,7/21/2016 8:25:45 AM,All Okay,45.515981,-68.361287,29
Escherichia coli,MW2,Ecoli,7/20/2017 9:57:23 AM,All Okay,45.515981,-68.361287,86
Escherichia coli,CH1,Ecoli,6/17/2015 9:17:20 AM,All Okay,45.432336,-68.459557,5
Escherichia coli,CH1,Ecoli,6/25/2015 9:13:18 AM,All Okay,45.432336,-68.459557,11
Escherichia coli,MW2,Ecoli,6/17/2015 9:58:05 AM,All Okay,45.515981,-68.361287,12
Escherichia coli,CH1,Ecoli,7/21/2016 9:15:33 AM,All Okay,45.432336,-68.459557,7
Escherichia coli,MW2,Ecoli,9/4/2014 8:18:45 AM,All Okay,45.515981,-68.361287,37
Escherichia coli,DC1,Ecoli,6/18/2015 7:26:45 AM,All Okay,45.639131,-68.66788,39
Escherichia coli,EM1,Ecoli,7/26/2017 9:48:13 AM,All Okay,45.619363,-68.569036,28
